,cid,text,time,author,channel,votes,photo,heart
0,Ugydp2BhL4reTch7S_l4AaABAg,Poliii,32 minutes ago,nithya and friends,UCPWgQV1U5AyNnAcl7hkIi2A,0,https://yt3.ggpht.com/ytc/AAUvwnhQdMhUWxImRJKQK8h4J7C-p_FVSi8yCfZBtA=s176-c-k-c0x00ffffff-no-rj,False
1,UgwNtyDFguc4VvlTVkJ4AaABAg,200M 😍😍,27 minutes ago,Shahida Pk,UCpwxU4KLqUuipuB3Lcns9YA,0,https://yt3.ggpht.com/ytc/AAUvwnjlHUsCp47GG0apEiPPawTtNBpzy619XFhOANXUeS3QnIwycHdBkxmZLBMUAGjO=s176-c-k-c0x00ffffff-no-rj,False
2,UgzHO5tjJ64sxwNbqRZ4AaABAg,💔💓💥💥,27 minutes ago,Moorthi Gokul,UCPx1Z1rnuY06LSW-vrMusGg,0,https://yt3.ggpht.com/ytc/AAUvwnghkVRI54kN-F1h6mJ_lhHVqvaeTMnh1MDSdA=s176-c-k-c0x00ffffff-no-rj,False
3,UgwpXq14_IiqOh-muiB4AaABAg,Good song,26 minutes ago,Madhumita videos dance 🩰,UCOy1To6db4tkiXKN1yisjqw,0,https://yt3.ggpht.com/xNjy_fjO_ppq3bXdltR1a5b0WHDJ9Plau37yYB0YkPl6g3fwjIjmJV_heeHd5ySqCJLUlWdZJmg=s176-c-k-c0x00ffffff-no-rj,False
4,Ugy9ymIMv4nfCmGcwFx4AaABAg,I love this song 🎵❤️(From France 🇫🇷),25 minutes ago,Thaya Vaithi,UCqVirCvmAgsWYNLsH-OAv1w,0,https://yt3.ggpht.com/ytc/AAUvwnh-wj3HQa-wszL8t-zsKn5SW5Kwc3eVAk31aA=s176-c-k-c0x00ffffff-no-rj,False
5,UgwWbOnnOjMnSjUp2l94AaABAg,This is best song for Oscar award,24 minutes ago,Royal Britto,UChhG4oaDCyOaxMZepqtwmBA,0,https://yt3.ggpht.com/ytc/AAUvwniA9UPCo8VNVkS67d3UcQmvj_APYQ-LNQU78A=s176-c-k-c0x00ffffff-no-rj,False
6,UgymZE1jqV5SoDAoMVN4AaABAg,Who else listen this daily?? 💕🎶💖🎶❤️🎶💓🎶💞🎶💔🎶❣️🎶💘🎶💝,23 minutes ago,silpa raj,UCcEbFZf6h1ulVAnWkjs235g,0,https://yt3.ggpht.com/ytc/AAUvwnjAMaS17Q2d2wBkhjDWAbL2lRZboGLs2el61A=s176-c-k-c0x00ffffff-no-rj,False
7,UgykpN22SBnphEJiyQ14AaABAg,Who else listen this daily?? 💕🎶💖🎶❤️🎶💓🎶💞🎶💔🎶❣️🎶💘🎶💝,23 minutes ago,silpa raj,UCcEbFZf6h1ulVAnWkjs235g,0,https://yt3.ggpht.com/ytc/AAUvwnjAMaS17Q2d2wBkhjDWAbL2lRZboGLs2el61A=s176-c-k-c0x00ffffff-no-rj,False
8,UgzBv6sweMGE-VZFl1x4AaABAg,Father music ❤️ daughter voice super combination,22 minutes ago,Dinesh Selvi,UC0YMfgE0BspUwM0a4P4P4iA,1,https://yt3.ggpht.com/ytc/AAUvwngkcT-Q0U_US3HByIwA2EzjQYJKnJObSlq4wA=s176-c-k-c0x00ffffff-no-rj,False
9,Ugywf4FhEnidLia73hh4AaABAg,தமிழ் எப்போதும் அழியாது.,17 minutes ago,radhakrishnan ramachandran,UCgSD9u-ZcsQyYX6AwgP6MZw,0,https://yt3.ggpht.com/ytc/AAUvwnhuELtOOH-U65yWUc7D7-aRkT0SgMGNp7SUGup8=s176-c-k-c0x00ffffff-no-rj,False
10,UgxWgThmUteWv1_0uzR4AaABAg,Dr composer. What is the meaning of the song...?,16 minutes ago,THIRUMURUGAN NATARAJ,UCJ5g7Kn5PEE1pNmdZnv5qcg,0,https://yt3.ggpht.com/ytc/AAUvwngXYD1f2SpyYPNPBHpup_TKUCwdoCZwKp4umvrurQQ=s176-c-k-c0x00ffffff-no-rj,False
11,Ugx8yHwzIDR6iuwLnmx4AaABAg,STRE@M THIS !!!!,14 minutes ago,Stre@m enjoy enjaami or else you gonna be kill,UCsczvDIZRbsRkbu1KttM2Zg,1,https://yt3.ggpht.com/9cF52yl4-tncmFiX0-b5CgDYa2YO4VH3X7NesW1HXzMjvZhLQHvuk96JWPdI69O598oXkunIGvg=s176-c-k-c0x00ffffff-no-rj,False
